year,elig_program,elig_code,n
2015,EI,DD,48
2015,EI,DD-ps,33
2015,EI,Other,8
2016,ECSE,Autism,6
2016,ECSE,CD,18
2016,ECSE,DD,52
2016,ECSE,Other,4
2016,EI,DD,158
2016,EI,DD-ps,55
2016,EI,Other,13
2017,ECSE,Autism,20
2017,ECSE,CD,125
2017,ECSE,DD,237
2017,ECSE,Other,19
2017,EI,Autism,1
2017,EI,DD,182
2017,EI,DD-ps,68
2017,EI,Other,10
2018,ECSE,Autism,44
2018,ECSE,CD,137
2018,ECSE,DD,269
2018,ECSE,Other,26
2018,EI,Autism,2
2018,EI,DD,232
2018,EI,DD-ps,59
2018,EI,Other,11
2019,ECSE,Autism,38
2019,ECSE,CD,270
2019,ECSE,DD,420
2019,ECSE,Other,28
2019,EI,Autism,1
2019,EI,DD,259
2019,EI,DD-ps,73
2019,EI,Other,10
2020,ECSE,Autism,18
2020,ECSE,CD,143
2020,ECSE,DD,304
2020,ECSE,Other,19
2020,EI,DD,143
2020,EI,DD-ps,79
2020,EI,Other,8
2021,ECSE,CD,2
2021,ECSE,DD,3
2021,EI,DD,6
2021,EI,DD-ps,1
