Region,Placement,Number
Central,community_preschool,108
Central,eccares,60
Central,eep,29
Central,head_start,41
Central,home_visit,135
Central,preschool_promise,2
Central,relief_nursery,14
Central,speech,8
Classrooms,eccares,22
Classrooms,relief_nursery,7
Coast,community_preschool,3
Coast,eccares,8
Coast,head_start,4
Coast,home_visit,13
East,community_preschool,57
East,eccares,36
East,eep,62
East,head_start,41
East,home_visit,148
East,preschool_promise,16
East,relief_nursery,26
East,speech,7
Lane Regional Program,dhh,6
Southwest,community_preschool,40
Southwest,eccares,50
Southwest,eep,41
Southwest,head_start,46
Southwest,home_visit,173
Southwest,preschool_promise,25
Southwest,relief_nursery,3
Southwest,speech,5
,community_preschool,4
,head_start,2
