Year,Area,Evaluated,Count_eval,Exit,Count_exit,Qualify,Count_qual,Eligibility,Count_elig,Referrals,Count_ref,Screen,Count_screen
2015,Lane county,EI,47,EI,149,EI,47,EI,4623,EI,377,EI,0
2015,Lane county,ECSE,61,ECSE,539,ECSE,559,ECSE,10823,ECSE,1177,ECSE,165
2015,Lane county,TOTAL,108,TOTAL,688,TOTAL,827,TOTAL,15446,TOTAL,1554,TOTAL,165
2015,Oregon,EI,1585,EI,1417,EI,1585,EI,41727,EI,7260,EI,123
2015,Oregon,ECSE,843,ECSE,5340,ECSE,5091,ECSE,96698,ECSE,9305,ECSE,748
2015,Oregon,TOTAL,2429,TOTAL,6757,TOTAL,8209,TOTAL,138425,TOTAL,16565,TOTAL,748
2016,Lane county,EI,56,EI,125,EI,56,EI,4361,EI,427,EI,0
2016,Lane county,ECSE,79,ECSE,602,ECSE,523,ECSE,11645,ECSE,1135,ECSE,177
2016,Lane county,TOTAL,135,TOTAL,727,TOTAL,825,TOTAL,16006,TOTAL,1562,TOTAL,177
2016,Oregon,EI,1731,EI,1553,EI,1731,EI,43949,EI,8044,EI,161
2016,Oregon,ECSE,850,ECSE,5702,ECSE,5328,ECSE,101792,ECSE,9573,ECSE,784
2016,Oregon,TOTAL,2581,TOTAL,7255,TOTAL,8745,TOTAL,145741,TOTAL,17617,TOTAL,784
2017,Lane county,EI,56,EI,90,EI,56,EI,4472,EI,841,EI,7
2017,Lane county,ECSE,63,ECSE,608,ECSE,571,ECSE,12094,ECSE,1204,ECSE,175
2017,Lane county,TOTAL,119,TOTAL,698,TOTAL,847,TOTAL,16566,TOTAL,2045,TOTAL,175
2017,Oregon,EI,1829,EI,1460,EI,1829,EI,46623,EI,8837,EI,171
2017,Oregon,ECSE,764,ECSE,5819,ECSE,5523,ECSE,104183,ECSE,10216,ECSE,773
2017,Oregon,TOTAL,2593,TOTAL,7279,TOTAL,9159,TOTAL,150806,TOTAL,19053,TOTAL,773
2018,Lane county,EI,40,EI,126,EI,40,EI,4270,EI,917,EI,92
2018,Lane county,ECSE,47,ECSE,624,ECSE,603,ECSE,12454,ECSE,1189,ECSE,154
2018,Lane county,TOTAL,87,TOTAL,750,TOTAL,911,TOTAL,16724,TOTAL,2106,TOTAL,154
2018,Oregon,EI,1774,EI,1741,EI,1774,EI,49115,EI,9271,EI,290
2018,Oregon,ECSE,823,ECSE,6047,ECSE,5827,ECSE,110793,ECSE,10418,ECSE,750
2018,Oregon,TOTAL,2597,TOTAL,7788,TOTAL,9677,TOTAL,159908,TOTAL,19689,TOTAL,750
2019,Lane county,EI,45,EI,89,EI,45,EI,4810,EI,767,EI,122
2019,Lane county,ECSE,60,ECSE,632,ECSE,613,ECSE,13434,ECSE,1248,ECSE,146
2019,Lane county,TOTAL,105,TOTAL,721,TOTAL,922,TOTAL,18244,TOTAL,2015,TOTAL,220
2019,Oregon,EI,1712,EI,1842,EI,1712,EI,51532,EI,9223,EI,498
2019,Oregon,ECSE,813,ECSE,6340,ECSE,5972,ECSE,116345,ECSE,10668,ECSE,631
2019,Oregon,TOTAL,2525,TOTAL,8182,TOTAL,9840,TOTAL,167877,TOTAL,19891,TOTAL,899
2020,Lane county,EI,26,EI,105,EI,26,EI,4340,EI,313,EI,143
2020,Lane county,ECSE,38,ECSE,749,ECSE,381,ECSE,13267,ECSE,765,ECSE,77
2020,Lane county,TOTAL,64,TOTAL,854,TOTAL,590,TOTAL,17607,TOTAL,1078,TOTAL,220
2020,Oregon,EI,951,EI,1611,EI,951,EI,44767,EI,6535,EI,426
2020,Oregon,ECSE,427,ECSE,6574,ECSE,4005,ECSE,112822,ECSE,7243,ECSE,354
2020,Oregon,TOTAL,1378,TOTAL,8185,TOTAL,6637,TOTAL,157589,TOTAL,13778,TOTAL,780
2021,Lane county,EI,1,EI,5,EI,1,EI,326,EI,10,EI,4
2021,Lane county,ECSE,0,ECSE,3,ECSE,5,ECSE,876,ECSE,59,ECSE,2
2021,Lane county,TOTAL,1,TOTAL,8,TOTAL,6,TOTAL,1202,TOTAL,69,TOTAL,6
2021,Oregon,EI,75,EI,97,EI,75,EI,3031,EI,405,EI,26
2021,Oregon,ECSE,24,ECSE,101,ECSE,208,ECSE,7003,ECSE,418,ECSE,11
2021,Oregon,TOTAL,99,TOTAL,198,TOTAL,367,TOTAL,10034,TOTAL,823,TOTAL,37
