Year,Area,variable,number
2015,Lane county,Screen,165
2015,Lane county,Evaluated,108
2015,Lane county,Exit,688
2015,Lane county,Qualify,827
2015,Lane county,Eligibility,15446
2015,Lane county,Referral,1554
2015,Oregon,Screen,748
2015,Oregon,Evaluated,2429
2015,Oregon,Exit,6757
2015,Oregon,Qualify,8209
2015,Oregon,Eligibility,138425
2015,Oregon,Referral,16565
2016,Lane county,Screen,177
2016,Lane county,Evaluated,135
2016,Lane county,Exit,727
2016,Lane county,Qualify,825
2016,Lane county,Eligibility,16006
2016,Lane county,Referral,1562
2016,Oregon,Screen,784
2016,Oregon,Evaluated,2581
2016,Oregon,Exit,7255
2016,Oregon,Qualify,8745
2016,Oregon,Eligibility,145741
2016,Oregon,Referral,17617
2017,Lane county,Screen,175
2017,Lane county,Evaluated,119
2017,Lane county,Exit,698
2017,Lane county,Qualify,847
2017,Lane county,Eligibility,16566
2017,Lane county,Referral,2045
2017,Oregon,Screen,773
2017,Oregon,Evaluated,2593
2017,Oregon,Exit,7279
2017,Oregon,Qualify,9159
2017,Oregon,Eligibility,150806
2017,Oregon,Referral,19053
2018,Lane county,Screen,154
2018,Lane county,Evaluated,87
2018,Lane county,Exit,750
2018,Lane county,Qualify,911
2018,Lane county,Eligibility,16724
2018,Lane county,Referral,2106
2018,Oregon,Screen,750
2018,Oregon,Evaluated,2597
2018,Oregon,Exit,7788
2018,Oregon,Qualify,9677
2018,Oregon,Eligibility,159908
2018,Oregon,Referral,19689
2019,Lane county,Screen,220
2019,Lane county,Evaluated,105
2019,Lane county,Exit,721
2019,Lane county,Qualify,922
2019,Lane county,Eligibility,18244
2019,Lane county,Referral,2015
2019,Oregon,Screen,899
2019,Oregon,Evaluated,2525
2019,Oregon,Exit,8182
2019,Oregon,Qualify,9840
2019,Oregon,Eligibility,167877
2019,Oregon,Referral,19891
2020,Lane county,Screen,220
2020,Lane county,Evaluated,64
2020,Lane county,Exit,854
2020,Lane county,Qualify,590
2020,Lane county,Eligibility,17607
2020,Lane county,Referral,1078
2020,Oregon,Screen,780
2020,Oregon,Evaluated,1378
2020,Oregon,Exit,8185
2020,Oregon,Qualify,6637
2020,Oregon,Eligibility,157589
2020,Oregon,Referral,13778
2021,Lane county,Screen,6
2021,Lane county,Evaluated,1
2021,Lane county,Exit,8
2021,Lane county,Qualify,6
2021,Lane county,Eligibility,1202
2021,Lane county,Referral,69
2021,Oregon,Screen,37
2021,Oregon,Evaluated,99
2021,Oregon,Exit,198
2021,Oregon,Qualify,367
2021,Oregon,Eligibility,10034
2021,Oregon,Referral,823
